"model","elpd_loo","p_loo","looic","estimate_(Intercept)","conf.low_(Intercept)","conf.high_(Intercept)","estimate_DO","conf.low_DO","conf.high_DO","estimate_polyDO21","estimate_polyDO22","conf.low_polyDO21","conf.low_polyDO22","conf.high_polyDO21","conf.high_polyDO22","estimate_polyDO31","estimate_polyDO32","estimate_polyDO33","conf.low_polyDO31","conf.low_polyDO32","conf.low_polyDO33","conf.high_polyDO31","conf.high_polyDO32","conf.high_polyDO33","r2","r2_error","r2_q2.5","r2_q97.5","id","model_type"
"a_9_22nov_1_lm_2",52.4474058375692,4.39491951455778,-104.894811675138,0.132476119213148,0.118265126455509,0.146784289801787,NA,NA,NA,0.0963410205698187,-0.00108537791001992,0.0186059724222603,-0.078070087832819,0.175387867027749,0.0760401366755267,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211941562219644,0.10268193103738,0.0251849483403197,0.410029754815757,"a_9_22nov_1","lm_2"
"a_9_22nov_1_lm_3",51.2510231241748,5.44867726912669,-102.50204624835,0.132432617493351,0.117729526443116,0.146174220053903,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0972518916120205,-0.000705978013052569,-0.0304883727325195,0.0159285593186843,-0.0765640733028631,-0.113134572647323,0.177842166680746,0.0789959962261173,0.0480877204696627,0.245405058089195,0.1042301938427,0.0471403624507876,0.437396964942377,"a_9_22nov_1","lm_3"
"a_9_22nov_3_lm_0",61.9783259086946,2.29324706818401,-123.956651817389,0.137712379075855,0.123120908171144,0.152164101866233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_9_22nov_3","lm_0"
"a_9_22nov_3_lm_1",60.5931762872252,3.94780139114143,-121.18635257445,0.126048750298175,0.0793509149815631,0.171797978230222,0.000153571701761433,-0.000421952660361144,0.000745991524088061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0341673954589787,0.042460755836401,3.12130722629728e-05,0.153277112730733,"a_9_22nov_3","lm_1"
"a_9_22nov_3_lm_2",60.8280624025385,5.07041332284969,-121.656124805077,0.137798350806777,0.123076874473525,0.152546689144312,NA,NA,NA,0.0240150021076892,0.0697089932632676,-0.0639607153918992,-0.0159117598873579,0.112104667973313,0.157113647798694,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115085723650741,0.0774065448231511,0.0052391665958527,0.284989852603584,"a_9_22nov_3","lm_2"
"a_9_22nov_3_lm_3",59.0961496478625,6.71602081630899,-118.192299295725,0.137870115086594,0.123164849560428,0.152037549633666,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0245891619524349,0.0704675074928394,-0.0110763537371682,-0.0628580062386372,-0.0165396991894222,-0.101182979635492,0.112136427901386,0.155216098474009,0.0781754853956842,0.136946793079466,0.0757928499631592,0.0158276768245064,0.300033763529051,"a_9_22nov_3","lm_3"
"a_9_22nov_4_lm_0",54.6528708245269,2.73878566513732,-109.305741649054,0.142027421872424,0.124651998373459,0.159612326899774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_9_22nov_4","lm_0"
"a_9_22nov_4_lm_1",62.8012796612817,3.56953229790738,-125.602559322563,0.0710398415668281,0.036169048338282,0.10530021047658,0.0010117786647695,0.000552955801260811,0.00146414343288583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.388704115203965,0.105081874993098,0.150032026410014,0.55362250710761,"a_9_22nov_4","lm_1"
"a_9_22nov_4_lm_2",62.8758127041542,3.89713290376154,-125.751625408308,0.141822025303435,0.128462968529394,0.15478474761851,NA,NA,NA,0.187788289720891,0.0449122022880439,0.110536673499242,-0.037575913844449,0.269943158180586,0.126068771776072,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41601958082627,0.0963469598404833,0.197878810679409,0.568149604647782,"a_9_22nov_4","lm_2"
"a_9_22nov_4_lm_3",62.0637906457919,4.35400205229755,-124.127581291584,0.141764114862735,0.128399636958641,0.155084094111403,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187808289885986,0.0458075885868044,-0.0121054793531668,0.104983720465907,-0.0376716892958029,-0.0943213322425691,0.273069983151629,0.127294220041304,0.066865606236179,0.420936474213773,0.0959753915051596,0.203025672372484,0.570628431498901,"a_9_22nov_4","lm_3"
"b_0_24nov_1_lm_0",54.8658547683028,2.05465728524258,-109.731709536606,0.134921777248945,0.11664423266919,0.152992510666728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"b_0_24nov_1","lm_0"
"b_0_24nov_1_lm_1",59.5689296923347,2.63954309308152,-119.137859384669,0.07222761875679,0.0331309526577535,0.111584718712006,0.0008336600828764,0.000351820579605511,0.00130820685749533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.241216178826151,0.0980172836837804,0.0492052817090853,0.419506303816807,"b_0_24nov_1","lm_1"
